00922,21,2,30,-90,NULL,n,E,other,OTN201 - 4800922
00923,21,2,30,-90,NULL,n,E,other,OTN200 - 4800923
01500,94,2,30,-90,NULL,n,E,other,SP031 - 3801500
01502,119,2,30,-90,NULL,n,E,other,Penobscot - 4801502
01503,136,2,30,-90,NULL,n,E,other,Saul - 4801503
01504,121,2,30,-90,NULL,n,E,other,Blue - 4801504
01505,92,2,30,-90,NULL,n,E,other,RU28 - 4801505
01506,92,2,30,-90,NULL,n,E,other,RU22 - 4801506
01507,92,2,30,-90,NULL,n,E,other,RU23 - 4801507
01508,116,2,30,-90,NULL,n,E,other,OTIS - 4801508
01510,76,2,30,-90,NULL,n,E,other,Salacia - 4801510
01511,97,2,30,-90,NULL,n,E,other,Modena - 4801511
01517,136,2,30,-90,NULL,n,E,other,WHOI_406 - 4801517
01518,92,2,30,-90,NULL,n,E,other,RU30 - 4801518
01519,119,2,30,-90,NULL,n,E,other,Unit - 4801519
01521,94,2,30,-90,NULL,n,E,other,SP011 - 4801521
01522,94,2,30,-90,NULL,n,E,other,SP018 - 4801522
01523,94,2,30,-90,NULL,n,E,other,SP025 - 4801523
01524,94,2,30,-90,NULL,n,E,other,SP028 - 4801524
01526,94,2,30,-90,NULL,n,E,other,SP048 - 4801526
01531,94,2,30,-90,NULL,n,E,other,SP407 - 4801531
01532,94,2,30,-90,NULL,n,E,other,SP020 - 4801532
01534,94,2,30,-90,NULL,n,E,other,SP030 - 4801534
01535,94,2,30,-90,NULL,n,E,other,SP052 - 4801535
01536,94,2,30,-90,NULL,n,E,other,SP063 - 4801536
01537,92,2,30,-90,NULL,n,E,other,ru07 - 4801537
01538,94,2,30,-90,NULL,n,E,other,SP043 - 4801538
01909,94,2,30,-90,NULL,n,E,other,SCRIPPS Glider - 4801909
01910,94,2,30,-90,NULL,n,E,other,SCRIPPS Glider - 4801910
0y2w3,108,2,44.794,-87.313,179,n,E,fixed,Sturgeon Bay CG Station; WI
13001,87,1,12,-23,0,y,E,buoy,NE Extension
13002,87,1,21,-23,0,y,E,buoy,NE Extension
13008,87,1,15,-38,0,y,E,buoy,Reggae
13009,87,1,8,-38,0,n,E,buoy,Lambada
13010,87,1,0,0,0,n,E,buoy,Soul
14040,91,1,-8,67,0,y,E,buoy,
14041,91,1,-8,55,0,n,E,buoy,
14043,91,1,-12,67,0,y,E,buoy,
14047,91,1,-4,57,0,n,E,buoy,
15001,87,1,-10,-10,0,y,E,buoy,Gavotte
15002,87,1,0,-10,0,y,E,buoy,Java
15006,87,1,-6,-10,0,y,E,buoy,Valse
15007,87,1,-6,8,0,n,E,buoy,SE Extension
18ci3,108,2,41.73,-86.91,176,n,E,fixed,Michigan City CG Station; IN
18cy3,83,2,41.73,-86.91,NULL,n,D,fixed,Michigan City; IN
